,Latitude,Longitude,Velocidade,Orientação
233,-29.990155117137483,-51.18443360226756,71,45
234,-29.98960870200388,-51.183962319214835,68,45
235,-29.98960870200388,-51.183962319214835,68,45
236,-29.98960870200388,-51.183962319214835,68,45
237,-29.98803092830561,-51.18313586632526,45,22
238,-29.98803092830561,-51.18313586632526,45,22
239,-29.987334249010267,-51.18277045120467,31,22
240,-29.98706445653805,-51.18268507384004,22,22
241,-29.986903947092557,-51.18258945119166,16,22
242,-29.986903947092557,-51.18258945119166,16,22
243,-29.98674343764706,-51.18248016816494,2,22
244,-29.98674343764706,-51.18248016816494,0,22
245,-29.98674343764706,-51.18248016816494,0,0
246,-29.98674343764706,-51.18248016816494,0,0
247,-29.98674343764706,-51.18248016816494,0,0
248,-29.98674343764706,-51.18248016816494,0,0
249,-29.986678550849945,-51.182449432313675,12,22
250,-29.986678550849945,-51.182449432313675,12,22
251,-29.986678550849945,-51.182449432313675,12,22
252,-29.9861423810001,-51.18218988512521,35,22
253,-29.985326173394284,-51.181803979437106,54,22
254,-29.985326173394284,-51.181803979437106,54,22
255,-29.984168456329968,-51.181237073736,68,22
256,-29.984168456329968,-51.181237073736,68,22
257,-29.9835230034534,-51.181001432209634,68,22
258,-29.982870720387663,-51.18079652653453,68,22
259,-29.982225267511097,-51.180601866143185,66,22
260,-29.98093777685255,-51.180205715171326,68,22
261,-29.98093777685255,-51.180205715171326,68,22
262,-29.98093777685255,-51.180205715171326,68,22
263,-29.97895360689866,-51.17960465852436,71,22
264,-29.97895360689866,-51.17960465852436,71,22
265,-29.97829790873834,-51.17944414907887,63,22
266,-29.97829790873834,-51.17944414907887,63,22
267,-29.977269965268253,-51.179153866039144,45,22
268,-29.976873814296393,-51.1790275075395,37,22
269,-29.976549380310818,-51.17891822451278,30,22
270,-29.976549380310818,-51.17891822451278,30,22
271,-29.97612249348769,-51.17880211129689,14,22
272,-29.97601321046097,-51.17876796035104,6,22
273,-29.97601321046097,-51.17876796035104,6,22
274,-29.97601321046097,-51.17876796035104,6,22
275,-29.976002965177216,-51.178757715067285,0,22
276,-29.976002965177216,-51.178757715067285,0,22
277,-29.976002965177216,-51.178757715067285,0,22
278,-29.976002965177216,-51.178757715067285,0,22
279,-29.975948323663857,-51.178726979216016,11,22
280,-29.97578781421836,-51.17867233770266,22,22
281,-29.97578781421836,-51.17867233770266,22,22
282,-29.975156021720135,-51.178457186743806,42,22
283,-29.97469498395116,-51.17831716786582,52,22
284,-29.97413490843922,-51.17813616785281,61,22
285,-29.97413490843922,-51.17813616785281,61,22
286,-29.97413490843922,-51.17813616785281,61,22
287,-29.972010719607344,-51.17747022440874,82,22
288,-29.970402210057806,-51.1769545451264,88,22
289,-29.970402210057806,-51.1769545451264,88,22
290,-29.970402210057806,-51.1769545451264,88,22
291,-29.968684417481548,-51.17667792246502,88,0
292,-29.968684417481548,-51.17667792246502,88,0
293,-29.966915398486513,-51.17670865831628,88,0
294,-29.966915398486513,-51.17670865831628,88,0
295,-29.965136134207725,-51.176753054545884,92,0
296,-29.965136134207725,-51.176753054545884,92,0
297,-29.964265285088548,-51.17676329982964,85,0
298,-29.964265285088548,-51.17676329982964,85,0
299,-29.961540039609712,-51.17637739414153,85,0
300,-29.96070334143639,-51.17633299791193,85,0
301,-29.959876888546816,-51.17636714885778,85,0
302,-29.959876888546816,-51.17636714885778,85,0
303,-29.95782783179581,-51.17647301678991,63,0
304,-29.95782783179581,-51.17647301678991,63,0
305,-29.957196039297585,-51.17650375264118,63,0
306,-29.957196039297585,-51.17650375264118,63,0
307,-29.956089548652045,-51.1766130356679,48,0
308,-29.955649001450578,-51.17662328095165,40,0
309,-29.95531773727583,-51.17664377151917,30,0
310,-29.95531773727583,-51.17664377151917,30,0
311,-29.954866944790613,-51.17666767718126,18,0
312,-29.95471668062887,-51.17667792246502,12,0
313,-29.954631303264247,-51.17667792246502,5,0
314,-29.954631303264247,-51.17667792246502,5,0
315,-29.954610812696735,-51.17668816774877,0,0
316,-29.954610812696735,-51.17668816774877,0,0
317,-29.954610812696735,-51.17668816774877,0,0
318,-29.954610812696735,-51.17668816774877,0,0
319,-29.954610812696735,-51.17668816774877,0,0
320,-29.954525435332112,-51.176698413032526,17,0
321,-29.954525435332112,-51.176698413032526,17,0
322,-29.954525435332112,-51.176698413032526,17,0
323,-29.953934623968905,-51.17676329982964,37,0
324,-29.953934623968905,-51.17676329982964,37,0
325,-29.952872529552966,-51.17677354511339,61,0
326,-29.95148941624604,-51.17682818662676,71,0
327,-29.95077907657236,-51.17686916776177,73,0
328,-29.95077907657236,-51.17686916776177,73,0
329,-29.950027755763657,-51.17690331870762,79,0
330,-29.948409000930365,-51.176978450788496,85,0
331,-29.948409000930365,-51.176978450788496,85,0
332,-29.947551812189527,-51.17700918663976,88,0
333,-29.946670717786596,-51.17705358286936,88,0
334,-29.946670717786596,-51.17705358286936,88,0
335,-29.944942679926584,-51.17713896023399,85,0
336,-29.944105981753257,-51.17716969608526,85,0
337,-29.944105981753257,-51.17716969608526,85,0
338,-29.942432585406603,-51.17725507344988,82,0
339,-29.941616377800788,-51.17729946967948,82,0
340,-29.94083432114082,-51.177340450814505,73,0
341,-29.94083432114082,-51.177340450814505,73,0
342,-29.939611717279387,-51.17739509232786,54,0
343,-29.93911652856456,-51.177429243273714,47,0
344,-29.93911652856456,-51.177429243273714,47,0
345,-29.938689641741437,-51.17744973384123,40,0
346,-29.93791441527064,-51.17750437535459,36,0
347,-29.937508019015024,-51.17751462063834,27,0
348,-29.93725188692115,-51.177524865922095,21,0
349,-29.93725188692115,-51.177524865922095,21,0
350,-29.93696160388142,-51.177524865922095,4,0
351,-29.936941113313914,-51.177524865922095,0,0
352,-29.936941113313914,-51.177524865922095,0,0
353,-29.936941113313914,-51.177524865922095,0,0
354,-29.936941113313914,-51.177524865922095,0,0
355,-29.936941113313914,-51.177524865922095,0,0
356,-29.936941113313914,-51.177524865922095,0,0
357,-29.936941113313914,-51.177524865922095,0,0
358,-29.936626924612092,-51.17755560177336,25,0
359,-29.936626924612092,-51.17755560177336,25,0
360,-29.93593024531675,-51.17756584705712,48,0
361,-29.93593024531675,-51.17756584705712,48,0
362,-29.93593024531675,-51.17756584705712,48,0
363,-29.934086094240847,-51.17765463951633,73,0
